SchoolYear,ESD,CountyNumber,county,CountyDistrictNumber,district,GradeTested,ReadingTotalTestedNotTested,ReadingTotalMSP_HSPETested,ReadingMetStandardIncludingPrevPass,ReadingPercentMetStandardIncludingPrevPass,ReadingMetStandardWithoutPrevPass,ReadingPercentMetStandardWithoutPrevPass,ReadingPercentMetStandardExcludingNoScore,ReadingLevel1,ReadingPercentLevel1,ReadingLevel2,ReadingPercentLevel2,ReadingLevelBasic,ReadingPercentLevelBasic,ReadingLevel3,ReadingPercentLevel3,ReadingLevel4,ReadingPercentLevel4,ReadingNoScore,ReadingPercentNoScore,ReadingNotMet,ReadingPercentNotMet,ReadingExcusedAbsence,ReadingExempted,ReadingWAASPORT,ReadingWAASDAPE,MathTotalTestedNotTested,MathTotalMSP_HSPETested,MathMetStandardIncludingPrevPass,MathPercentMetStandardIncludingPrevPass,MathMetStandardWithoutPrevPass,MathPercentMetStandardWithoutPrevPass,MathPercentMetStandardExcludingNoScore,MathLevel1,MathPercentLevel1,MathLevel2,MathPercentLevel2,MathLevelBasic,MathPercentLevelBasic,MathLevel3,MathPercentLevel3,MathLevel4,MathPercentLevel4,MathNoScore,MathPercentNoScore,MathNotMet,MathPercentNotMet,MathExcusedAbsence,MathExempted,MathWAASPORT,MathWAASDAPE,WritingTotalTestedNotTested,WritingTotalMSP_HSPETested,WritingMetStandardIncludingPrevPass,WritingPercentMetStandardIncludingPrevPass,WritingMetStandardWithoutPrevPass,WritingPercentMetStandardWithoutPrevPass,WritingPercentMetStandardExcludingNoScore,WritingLevel1,WritingPercentLevel1,WritingLevel2,WritingPercentLevel2,WritingLevelBasic,WritingPercentLevelBasic,WritingLevel3,WritingPercentLevel3,WritingLevel4,WritingPercentLevel4,WritingNoScore,WritingPercentNoScore,WritingNotMet,WritingPercentNotMet,WritingExcusedAbsence,WritingExempted,WritingWAASPORT,WritingWAASDAPE,ScienceTotalTestedNotTested,ScienceTotalMSP_HSPETested,ScienceMetStandardIncludingPrevPass,SciencePercentMetStandardIncludingPrevPass,ScienceMetStandardWithoutPrevPass,SciencePercentMetStandardWithoutPrevPass,SciencePercentMetStandardExcludingNoScore,ScienceLevel1,SciencePercentLevel1,ScienceLevel2,SciencePercentLevel2,ScienceLevelBasic,SciencePercentLevelBasic,ScienceLevel3,SciencePercentLevel3,ScienceLevel4,SciencePercentLevel4,ScienceNoScore,SciencePercentNoScore,ScienceNotMet,SciencePercentNotMet,ScienceExcusedAbsence,ScienceExempted,ScienceWAASPORT,ScienceWAASDAPE,ReadingLevelIndex,MathLevelIndex
2013-14,Educational Service District 101,32,Spokane,32361,East Valley School District (Spokane),4,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,Educational Service District 101,32,Spokane,32361,East Valley School District (Spokane),5,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271,269,163,60.1,163,60.1,60.6,45,16.6,61,22.5,1,0.3,84,30.89,78,28.69,2,0.7,108,39.79,1,4,5,NA,,
2013-14,Educational Service District 101,32,Spokane,32361,East Valley School District (Spokane),6,3,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,Educational Service District 101,32,Spokane,32361,East Valley School District (Spokane),8,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239,233,143,59.79,143,59.79,61.4,34,14.19,56,23.39,2,0.8,106,44.29,35,14.59,6,2.5,96,40.1,4,0,5,NA,,
2013-14,Educational Service District 101,32,Spokane,32361,East Valley School District (Spokane),10,240,238,200,83.3,200,83.29,84,19,7.9,19,7.9,7,2.89,72,30,121,50.39,2,0.8,40,16.6,9,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,235,229,211,89.7,211,89.7,92.1,4,1.7,14,5.9,11,4.59,100,42.5,100,42.5,6,2.5,24,10.19,14,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,3.15,
2013-14,Educational Service District 105,39,Yakima,39090,East Valley School District (Yakima),5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216,214,136,62.89,136,62.89,63.6,29,13.4,49,22.6,0,0,80,37,56,25.89,2,0.9,80,37,0,1,,NA,,
2013-14,Educational Service District 105,39,Yakima,39090,East Valley School District (Yakima),6,227,225,143,62.89,143,62.89,63.6,25,11,57,25.1,0,0,89,39.2,54,23.69,2,0.8,84,37,0,1,,,227,225,113,49.7,113,49.7,50.2,60,26.39,52,22.89,0,0,78,34.29,35,15.4,2,0.8,114,50.2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.74,2.37
2013-14,Educational Service District 105,39,Yakima,39090,East Valley School District (Yakima),7,256,256,134,52.29,134,52.29,52.3,58,22.6,64,25,0,0,62,24.19,72,28.1,0,0,122,47.6,0,1,,,255,255,80,31.3,80,31.3,31.4,111,43.5,64,25,0,0,57,22.3,23,9,0,0,175,68.59,0,2,,,254,249,163,64.09,163,64.09,65.5,28,11,58,22.8,0,0,94,37,69,27.1,5,1.89,91,35.79,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58,1.96
2013-14,Educational Service District 105,39,Yakima,39090,East Valley School District (Yakima),8,234,232,127,54.2,127,54.2,54.7,38,16.19,67,28.6,0,0,53,22.6,74,31.6,2,0.8,107,45.7,0,5,,,234,232,74,31.6,74,31.6,31.9,96,41,62,26.39,0,0,62,26.39,12,5.09,2,0.8,160,68.29,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,234,232,125,53.39,125,53.39,53.9,31,13.19,76,32.39,0,0,104,44.39,21,8.9,2,0.8,109,46.5,0,5,,NA,2.68,1.93
2013-14,Educational Service District 105,39,Yakima,39090,East Valley School District (Yakima),10,211,210,179,83.6,176,83.4,83.8,11,5.2,23,10.9,3,1.39,70,33.1,103,48.79,1,0.4,35,16.5,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,206,201,184,87.6,180,87.29,89.6,4,1.89,17,8.19,8,3.79,103,50,69,33.39,5,2.39,26,12.59,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.21,
2013-14,North Central Educational Service District 171,9,Douglas,9206,Eastmont School District,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416,410,268,64.4,268,64.4,65.4,54,12.9,88,21.1,14,3.29,156,37.5,98,23.5,6,1.39,148,35.5,0,5,,NA,,
2013-14,North Central Educational Service District 171,9,Douglas,9206,Eastmont School District,6,422,422,349,82.7,349,82.7,82.7,22,5.2,51,12,7,1.6,216,51.1,126,29.8,0,0,73,17.19,0,0,4,,422,421,268,63.5,268,63.5,63.7,67,15.8,86,20.3,2,0.4,153,36.2,113,26.69,1,0.2,154,36.39,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.02,2.72
2013-14,North Central Educational Service District 171,9,Douglas,9206,Eastmont School District,7,443,439,312,70.4,312,70.4,71.1,50,11.19,77,17.3,6,1.3,121,27.3,185,41.7,4,0.9,131,29.5,0,2,,,443,440,279,62.89,279,62.89,63.4,89,20,72,16.19,7,1.5,139,31.3,133,30,3,0.6,164,37,0,2,,,434,424,338,77.79,338,77.79,79.7,38,8.69,48,11,4,0.9,200,46,134,30.8,10,2.29,96,22.1,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.94,2.66
2013-14,North Central Educational Service District 171,9,Douglas,9206,Eastmont School District,8,4,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425,416,246,57.79,246,57.79,59.1,56,13.09,114,26.8,10,2.29,204,48,32,7.5,9,2.1,179,42.1,0,6,2,NA,,
2013-14,North Central Educational Service District 171,9,Douglas,9206,Eastmont School District,10,454,451,379,83.2,378,83.2,83.8,24,5.2,49,10.69,5,1.1,121,26.6,252,55.5,3,0.6,76,16.69,13,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,451,446,400,88.3,398,88.2,89.2,14,3.1,34,7.5,3,0.6,198,43.89,197,43.6,5,1.1,53,11.69,15,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3.28,
2013-14,Educational Service District 105,19,Kittitas,19028,Easton School District,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13,6,46.1,6,46.1,46.2,4,30.69,3,23,0,0,3,23,3,23,0,0,7,53.79,0,1,,NA,,
2013-14,Educational Service District 105,19,Kittitas,19028,Easton School District,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,3,25,3,25,25,3,25,6,50,0,0,2,16.6,1,8.3,0,0,9,75,0,0,,NA,,
2013-14,Educational Service District 105,19,Kittitas,19028,Easton School District,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,Puget Sound Educational Service District 121,27,Pierce,27404,Eatonville School District,4,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,Puget Sound Educational Service District 121,27,Pierce,27404,Eatonville School District,5,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,139,103,73,103,73,74.1,10,7,26,18.39,0,0,59,41.79,44,31.19,2,1.39,38,26.89,0,1,,NA,,
2013-14,Puget Sound Educational Service District 121,27,Pierce,27404,Eatonville School District,6,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,Puget Sound Educational Service District 121,27,Pierce,27404,Eatonville School District,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,157,111,69.29,111,69.29,70.7,10,6.2,36,22.5,0,0,82,51.2,29,18.1,3,1.8,49,30.6,0,0,,NA,,
2013-14,Puget Sound Educational Service District 121,27,Pierce,27404,Eatonville School District,10,176,173,151,85.7,151,85.7,87.3,6,3.39,16,9,0,0,46,26.1,105,59.6,3,1.7,25,14.19,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,177,172,145,81.9,145,81.9,84.3,4,2.2,23,12.9,0,0,77,43.5,68,38.39,5,2.79,32,18,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3.38,
2013-14,Northwest Educational Service District 189,31,Snohomish,31015,Edmonds School District,3,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,Northwest Educational Service District 189,31,Snohomish,31015,Edmonds School District,5,3,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1469,1440,934,63.5,934,63.5,64.9,192,13,314,21.3,18,1.19,514,34.89,402,27.3,29,1.89,535,36.39,0,15,19,NA,,
2013-14,Northwest Educational Service District 189,31,Snohomish,31015,Edmonds School District,6,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,Northwest Educational Service District 189,31,Snohomish,31015,Edmonds School District,7,346,345,225,65,225,65,65.2,36,10.4,84,24.19,11,3.1,99,28.6,115,33.2,1,0.2,121,34.89,2,4,13,,348,347,187,53.7,187,53.7,53.9,98,28.1,62,17.8,3,0.8,118,33.89,66,18.89,1,0.2,161,46.2,1,3,12,,347,342,227,65.4,227,65.4,66.4,46,13.19,69,19.8,10,2.79,149,42.89,68,19.5,5,1.39,120,34.5,1,4,13,,,,,,,,,,,,,,,,,,,,,,,,,,,2.77,2.41
2013-14,Northwest Educational Service District 189,31,Snohomish,31015,Edmonds School District,8,351,349,244,69.5,244,69.5,69.9,34,9.59,71,20.19,8,2.2,91,25.89,145,41.29,2,0.5,107,30.39,2,3,14,,352,349,196,55.6,196,55.6,56.2,89,25.19,64,18.1,4,1.1,101,28.6,91,25.8,3,0.8,156,44.29,2,2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,1528,1487,1136,74.29,1136,74.29,76.4,140,9.09,211,13.8,48,3.1,764,50,324,21.19,41,2.6,392,25.6,5,13,14,NA,2.93,2.5
2013-14,Northwest Educational Service District 189,31,Snohomish,31015,Edmonds School District,10,1511,1450,1312,86.5,1307,86.4,90.1,69,4.5,74,4.79,40,2.6,340,22.5,927,61.29,61,4,204,13.5,44,51,22,,,,,,,,,,,,,,,,,,,,,,,,,,,1511,1440,1327,87.5,1322,87.4,91.8,37,2.39,81,5.29,50,3.29,532,35.2,740,48.89,71,4.59,189,12.5,45,50,22,,,,,,,,,,,,,,,,,,,,,,,,,,,3.27,
2013-14,Educational Service District 105,19,Kittitas,19401,Ellensburg School District,3,226,220,166,73.4,166,73.4,75.5,19,8.4,35,15.4,0,0,77,34,89,39.29,6,2.6,60,26.5,0,1,,,227,221,146,64.29,146,64.29,66.1,27,11.8,48,21.1,0,0,83,36.5,63,27.69,6,2.6,81,35.6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.98,2.74
2013-14,Educational Service District 105,19,Kittitas,19401,Ellensburg School District,4,227,225,158,69.59,158,69.59,70.2,6,2.6,61,26.8,0,0,95,41.79,63,27.69,2,0.8,69,30.3,0,5,1,,227,226,135,59.39,135,59.39,59.7,50,22,41,18,0,0,80,35.2,55,24.19,1,0.4,92,40.5,0,5,1,,227,221,131,57.7,131,57.7,59.3,25,11,65,28.6,0,0,86,37.79,45,19.8,6,2.6,96,42.2,0,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2.92,2.6
2013-14,Educational Service District 105,19,Kittitas,19401,Ellensburg School District,5,227,225,156,68.7,156,68.7,69.3,18,7.9,51,22.39,0,0,67,29.5,89,39.2,2,0.8,71,31.19,0,0,1,,227,225,128,56.29,128,56.29,56.9,50,22,47,20.69,0,0,86,37.79,42,18.5,2,0.8,99,43.6,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,227,224,127,55.89,127,55.89,56.7,36,15.8,61,26.8,0,0,59,25.89,68,29.89,3,1.3,100,44,0,0,1,NA,2.98,2.51
2013-14,Educational Service District 105,19,Kittitas,19401,Ellensburg School District,6,215,208,146,67.9,146,67.9,70.2,21,9.69,41,19,0,0,83,38.6,63,29.3,7,3.2,69,32,0,0,1,,215,208,115,53.39,115,53.39,55.3,48,22.3,45,20.89,0,0,72,33.39,43,20,7,3.2,100,46.5,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.81,2.44
2013-14,Educational Service District 105,19,Kittitas,19401,Ellensburg School District,7,227,212,154,67.79,154,67.79,72.6,16,7,42,18.5,0,0,54,23.69,100,44,15,6.59,73,32.1,0,1,3,,227,218,128,56.29,128,56.29,58.7,43,18.89,47,20.69,0,0,63,27.69,65,28.6,9,3.89,99,43.6,0,1,3,,227,221,157,69.09,157,69.09,71,23,10.09,41,18,0,0,70,30.8,87,38.29,6,2.6,70,30.8,0,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,2.91,2.58
2013-14,Educational Service District 105,19,Kittitas,19401,Ellensburg School District,8,259,227,169,65.2,169,65.2,74.4,27,10.4,31,11.9,0,0,40,15.4,129,49.79,32,12.3,90,34.7,0,2,3,,258,227,109,42.2,109,42.2,48,72,27.89,46,17.8,0,0,71,27.5,38,14.69,31,12,149,57.7,0,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,259,226,158,61,158,61,69.9,18,6.9,50,19.3,0,0,110,42.39,48,18.5,33,12.69,101,38.89,0,2,3,NA,2.8,2.05
2013-14,Educational Service District 105,19,Kittitas,19401,Ellensburg School District,10,229,219,202,87,199,86.79,90.9,7,3,13,5.59,3,1.3,58,25.3,138,60.2,10,4.29,30,13.09,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,225,217,212,93.3,210,93.29,96.8,0,0,7,3.1,1,0.4,98,43.5,111,49.29,8,3.5,15,6.59,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.31,
2013-14,Educational Service District 113,14,Grays Harbor,14068,Elma School District,3,98,98,71,72.4,71,72.4,72.4,13,13.19,14,14.19,0,0,27,27.5,44,44.79,0,0,27,27.5,0,0,3,,97,97,53,54.6,53,54.6,54.6,23,23.69,21,21.6,0,0,38,39.1,15,15.4,0,0,44,45.29,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.03,2.46
2013-14,Educational Service District 113,14,Grays Harbor,14068,Elma School District,4,76,76,51,67.09,51,67.09,67.1,1,1.3,24,31.5,0,0,34,44.7,17,22.3,0,0,25,32.79,0,2,,,76,76,43,56.5,43,56.5,56.6,19,25,14,18.39,0,0,27,35.5,16,21,0,0,33,43.39,0,2,,,76,74,34,44.7,34,44.7,45.9,10,13.09,30,39.39,0,0,28,36.79,6,7.79,2,2.6,42,55.2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.88,2.52
2013-14,Educational Service District 113,14,Grays Harbor,14068,Elma School District,5,120,119,77,64.09,77,64.09,64.7,11,9.09,31,25.8,0,0,36,30,41,34.1,1,0.8,43,35.79,0,1,,,120,119,74,61.6,74,61.6,62.2,28,23.3,17,14.09,0,0,47,39.1,27,22.5,1,0.8,46,38.29,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,119,63,52.5,63,52.5,52.9,19,15.8,37,30.8,0,0,39,32.5,24,20,1,0.8,57,47.5,0,1,,NA,2.87,2.59
2013-14,Educational Service District 113,14,Grays Harbor,14068,Elma School District,6,104,104,48,46.1,48,46.1,46.2,18,17.3,38,36.5,0,0,33,31.69,15,14.4,0,0,56,53.79,0,0,1,,104,103,43,41.29,43,41.29,41.7,33,31.69,27,25.89,0,0,32,30.69,11,10.5,1,0.9,61,58.6,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.43,2.18
2013-14,Educational Service District 113,14,Grays Harbor,14068,Elma School District,7,93,91,55,59.1,55,59.1,60.4,9,9.59,27,29,0,0,22,23.6,33,35.39,2,2.1,38,40.79,0,1,2,,93,93,51,54.79,51,54.79,54.8,21,22.5,21,22.5,0,0,26,27.89,25,26.8,0,0,42,45.1,0,1,2,,92,91,64,69.5,64,69.5,70.3,7,7.59,20,21.69,0,0,50,54.29,14,15.19,1,1,28,30.39,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,2.58
2013-14,Educational Service District 113,14,Grays Harbor,14068,Elma School District,8,92,92,57,61.89,57,61.89,62,12,13,23,25,0,0,27,29.3,30,32.6,0,0,35,38,0,2,,,93,93,47,50.5,47,50.5,50.5,25,26.8,21,22.5,0,0,24,25.8,23,24.69,0,0,46,49.39,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,93,72,77.4,72,77.4,77.4,7,7.5,14,15,0,0,54,58,18,19.3,0,0,21,22.5,0,1,,NA,2.81,2.48
2013-14,Educational Service District 113,14,Grays Harbor,14068,Elma School District,10,152,143,121,79.6,121,79.59,84.6,11,7.2,11,7.2,7,4.59,42,27.6,72,47.29,9,5.9,31,20.3,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,137,121,79.6,120,79.4,87.6,5,3.29,12,7.9,8,5.2,81,53.6,31,20.5,14,9.19,31,20.5,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.94,
2013-14,Educational Service District 101,38,Whitman,38308,Endicott School District,3,6,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,Educational Service District 101,38,Whitman,38308,Endicott School District,4,7,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,Educational Service District 101,38,Whitman,38308,Endicott School District,5,8,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,NA,,
2013-14,Educational Service District 101,38,Whitman,38308,Endicott School District,6,26,25,16,61.5,16,61.5,64,4,15.3,5,19.19,0,0,13,50,3,11.5,1,3.79,10,38.39,0,0,,,26,25,14,53.79,14,53.79,56,3,11.5,8,30.69,0,0,7,26.89,7,26.89,1,3.79,12,46.1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,2.61
2013-14,Educational Service District 101,38,Whitman,38308,Endicott School District,7,23,23,14,60.79,14,60.79,60.9,2,8.59,7,30.39,0,0,7,30.39,7,30.39,0,0,9,39.1,0,0,,,23,23,10,43.39,10,43.39,43.5,2,8.59,11,47.79,0,0,8,34.7,2,8.59,0,0,13,56.5,0,0,,,22,22,12,54.5,12,54.5,54.5,5,22.69,5,22.69,0,0,10,45.39,2,9,0,0,10,45.39,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.82,2.43
2013-14,Educational Service District 101,38,Whitman,38308,Endicott School District,8,15,15,9,60,9,60,60,1,6.59,5,33.29,0,0,4,26.6,5,33.29,0,0,6,40,0,0,,,15,15,10,66.59,10,66.59,66.7,1,6.59,4,26.6,0,0,9,60,1,6.59,0,0,5,33.29,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,11,73.29,11,73.29,73.3,0,0,4,26.6,0,0,9,60,2,13.3,0,0,4,26.6,0,0,,NA,2.86,2.66
2013-14,North Central Educational Service District 171,4,Chelan,4127,Entiat School District,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,28,7,25,7,25,25,11,39.2,10,35.7,0,0,7,25,0,0,0,0,21,75,0,0,,NA,,
2013-14,North Central Educational Service District 171,4,Chelan,4127,Entiat School District,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,25,17,65.29,17,65.29,68,1,3.79,7,26.89,0,0,14,53.79,3,11.5,1,3.79,9,34.6,3,0,,NA,,
2013-14,North Central Educational Service District 171,4,Chelan,4127,Entiat School District,10,24,23,21,87.5,21,87.5,91.3,1,4.09,1,4.09,0,0,6,25,15,62.5,1,4.09,3,12.5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,24,18,72,18,72,75,1,4,5,20,0,0,16,64,2,8,1,4,7,28,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.37,
2013-14,Puget Sound Educational Service District 121,17,King,17216,Enumclaw School District,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,Puget Sound Educational Service District 121,17,King,17216,Enumclaw School District,5,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278,276,170,61.1,170,61.1,61.6,46,16.5,60,21.5,1,0.3,92,33,77,27.6,2,0.7,108,38.79,0,0,4,NA,,
2013-14,Puget Sound Educational Service District 121,17,King,17216,Enumclaw School District,6,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,Puget Sound Educational Service District 121,17,King,17216,Enumclaw School District,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,Puget Sound Educational Service District 121,17,King,17216,Enumclaw School District,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331,328,261,78.79,261,78.79,79.6,21,6.29,46,13.8,12,3.6,181,54.6,68,20.5,3,0.9,70,21.1,1,0,4,NA,,
2013-14,Puget Sound Educational Service District 121,17,King,17216,Enumclaw School District,10,331,328,305,92.1,305,92.09,93,5,1.5,18,5.4,7,2.1,82,24.69,216,65.2,3,0.9,26,7.79,9,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,325,323,300,92.3,300,92.29,92.9,5,1.5,18,5.5,5,1.5,109,33.5,186,57.2,2,0.6,25,7.59,15,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,3.47,
2013-14,North Central Educational Service District 171,13,Grant,13165,Ephrata School District,3,175,175,127,72.5,127,72.5,72.6,11,6.2,37,21.1,3,1.7,63,36,61,34.79,0,0,48,27.39,0,0,2,,175,175,85,48.5,85,48.5,48.6,35,20,55,31.39,2,1.1,60,34.2,23,13.09,0,0,90,51.39,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.96,2.38
2013-14,North Central Educational Service District 171,13,Grant,13165,Ephrata School District,4,138,137,105,76,105,76,76.6,1,0.7,31,22.39,9,6.5,68,49.2,28,20.19,1,0.7,33,23.89,0,0,5,,138,136,68,49.2,68,49.2,50,42,30.39,26,18.8,1,0.7,49,35.5,18,13,2,1.39,70,50.7,0,0,5,,138,132,83,60.1,83,60.1,62.9,19,13.69,30,21.69,3,2.1,46,33.29,34,24.6,6,4.29,55,39.79,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,2.74,2.26
2013-14,North Central Educational Service District 171,13,Grant,13165,Ephrata School District,5,173,169,126,72.79,126,72.79,74.6,8,4.59,35,20.19,3,1.7,49,28.3,74,42.7,4,2.29,47,27.1,0,0,8,,173,171,83,47.89,83,47.89,48.5,42,24.19,46,26.5,1,0.5,54,31.19,28,16.1,2,1.1,90,52,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,173,170,113,65.29,113,65.29,66.5,10,5.7,47,27.1,2,1.1,74,42.7,37,21.3,3,1.7,60,34.6,0,0,8,NA,3.01,2.35
