SchoolYear,ESD,CountyNumber,county,CountyDistrictNumber,district,GradeTested,ReadingTotalTestedNotTested,ReadingTotalMSP_HSPETested,ReadingMetStandardIncludingPrevPass,ReadingPercentMetStandardIncludingPrevPass,ReadingMetStandardWithoutPrevPass,ReadingPercentMetStandardWithoutPrevPass,ReadingPercentMetStandardExcludingNoScore,ReadingLevel1,ReadingPercentLevel1,ReadingLevel2,ReadingPercentLevel2,ReadingLevelBasic,ReadingPercentLevelBasic,ReadingLevel3,ReadingPercentLevel3,ReadingLevel4,ReadingPercentLevel4,ReadingNoScore,ReadingPercentNoScore,ReadingNotMet,ReadingPercentNotMet,ReadingExcusedAbsence,ReadingExempted,ReadingWAASPORT,ReadingWAASDAPE,MathTotalTestedNotTested,MathTotalMSP_HSPETested,MathMetStandardIncludingPrevPass,MathPercentMetStandardIncludingPrevPass,MathMetStandardWithoutPrevPass,MathPercentMetStandardWithoutPrevPass,MathPercentMetStandardExcludingNoScore,MathLevel1,MathPercentLevel1,MathLevel2,MathPercentLevel2,MathLevelBasic,MathPercentLevelBasic,MathLevel3,MathPercentLevel3,MathLevel4,MathPercentLevel4,MathNoScore,MathPercentNoScore,MathNotMet,MathPercentNotMet,MathExcusedAbsence,MathExempted,MathWAASPORT,MathWAASDAPE,WritingTotalTestedNotTested,WritingTotalMSP_HSPETested,WritingMetStandardIncludingPrevPass,WritingPercentMetStandardIncludingPrevPass,WritingMetStandardWithoutPrevPass,WritingPercentMetStandardWithoutPrevPass,WritingPercentMetStandardExcludingNoScore,WritingLevel1,WritingPercentLevel1,WritingLevel2,WritingPercentLevel2,WritingLevelBasic,WritingPercentLevelBasic,WritingLevel3,WritingPercentLevel3,WritingLevel4,WritingPercentLevel4,WritingNoScore,WritingPercentNoScore,WritingNotMet,WritingPercentNotMet,WritingExcusedAbsence,WritingExempted,WritingWAASPORT,WritingWAASDAPE,ScienceTotalTestedNotTested,ScienceTotalMSP_HSPETested,ScienceMetStandardIncludingPrevPass,SciencePercentMetStandardIncludingPrevPass,ScienceMetStandardWithoutPrevPass,SciencePercentMetStandardWithoutPrevPass,SciencePercentMetStandardExcludingNoScore,ScienceLevel1,SciencePercentLevel1,ScienceLevel2,SciencePercentLevel2,ScienceLevelBasic,SciencePercentLevelBasic,ScienceLevel3,SciencePercentLevel3,ScienceLevel4,SciencePercentLevel4,ScienceNoScore,SciencePercentNoScore,ScienceNotMet,SciencePercentNotMet,ScienceExcusedAbsence,ScienceExempted,ScienceWAASPORT,ScienceWAASDAPE,ReadingLevelIndex,MathLevelIndex
2013-14,Educational Service District 101,22,Lincoln,22017,Almira School District,3,5,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,Educational Service District 101,22,Lincoln,22017,Almira School District,4,6,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,Educational Service District 101,22,Lincoln,22017,Almira School District,5,6,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,NA,,
2013-14,Educational Service District 101,22,Lincoln,22017,Almira School District,6,18,18,11,61.1,11,61.1,61.1,3,16.6,4,22.19,0,0,9,50,2,11.09,0,0,7,38.79,0,0,,,18,18,11,61.1,11,61.1,61.1,4,22.19,3,16.6,0,0,7,38.79,4,22.19,0,0,7,38.79,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.55,2.61
2013-14,Educational Service District 101,22,Lincoln,22017,Almira School District,7,26,26,22,84.59,22,84.59,84.6,2,7.59,2,7.59,0,0,9,34.6,13,50,0,0,4,15.3,0,0,2,,26,26,21,80.7,21,80.7,80.8,3,11.5,2,7.59,0,0,10,38.39,11,42.29,0,0,5,19.19,0,0,2,,26,26,21,80.7,21,80.7,80.8,1,3.79,4,15.3,0,0,12,46.1,9,34.6,0,0,5,19.19,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,3.27,3.11
2013-14,Educational Service District 101,22,Lincoln,22017,Almira School District,8,12,12,9,75,9,75,75,1,8.3,2,16.6,0,0,2,16.6,7,58.29,0,0,3,25,0,0,,,12,12,9,75,9,75,75,1,8.3,2,16.6,0,0,3,25,6,50,0,0,3,25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,9,75,9,75,75,0,0,3,25,0,0,7,58.29,2,16.6,0,0,3,25,0,0,,NA,3.24,3.17
2013-14,Northwest Educational Service District 189,29,Skagit,29103,Anacortes School District,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197,197,146,74.09,146,74.09,74.1,21,10.59,30,15.19,0,0,59,29.89,87,44.1,0,0,51,25.8,2,2,5,NA,,
2013-14,Northwest Educational Service District 189,29,Skagit,29103,Anacortes School District,6,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,Northwest Educational Service District 189,29,Skagit,29103,Anacortes School District,7,206,205,157,76.2,157,76.2,76.6,16,7.7,32,15.5,0,0,62,30,95,46.1,1,0.4,49,23.69,0,0,2,,206,205,142,68.9,142,68.9,69.3,30,14.5,33,16,0,0,54,26.19,88,42.7,1,0.4,64,31,0,0,2,,206,201,154,74.7,154,74.7,76.6,13,6.29,34,16.5,0,0,95,46.1,59,28.6,5,2.39,52,25.19,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,3.13,2.96
2013-14,Northwest Educational Service District 189,29,Skagit,29103,Anacortes School District,8,178,174,144,80.79,144,80.79,82.8,6,3.29,24,13.4,0,0,43,24.1,101,56.7,4,2.2,34,19.1,0,0,2,,178,173,139,78,139,78,80.3,18,10.09,16,8.9,0,0,78,43.79,61,34.2,5,2.79,39,21.89,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,178,173,145,81.4,145,81.4,83.8,12,6.7,16,8.9,0,0,76,42.6,69,38.7,5,2.79,33,18.5,0,0,2,NA,3.29,2.96
